Zeit;Kanal A;Kanal B;Kanal C;Kanal D
(s);(V);(V);(V);(V)

0,51800002;5,00564600;4,13861500;7,00125100;-0,04119999
0,52000002;5,00045800;4,13342700;7,01712100;-0,07843257
0,52200002;5,01113900;4,13342700;6,99575800;-0,08880886
0,52400002;5,00564600;4,13861500;6,99575800;-0,04119999
0,52600002;4,98977600;4,13861500;7,00125100;0,02746666
0,52800003;5,00045800;4,12823900;7,00643900;0,04333628
0,53000003;5,00564600;4,12823900;6,99575800;0,07507554
0,53200003;5,00564600;4,14410800;7,00125100;0,08026368
0,53400003;5,00045800;4,13861500;6,99575800;0,03784295
0,53600003;5,00564600;4,13861500;7,00643900;-0,02014222
0,53800003;5,01113900;4,13861500;7,00125100;-0,04119999
0,54000003;4,99496500;4,12823900;7,00125100;-0,07293924
0,54200003;4,99496500;4,13861500;6,99057000;-0,08880886
0,54400003;5,00045800;4,13861500;7,00125100;-0,03051851
0,54600003;5,00564600;4,13861500;6,99575800;0,02746666
0,54800003;4,99496500;4,12823900;7,00125100;0,03784295
0,55000003;5,00564600;4,13861500;7,00643900;0,08026368
0,55200003;5,01113900;4,13342700;6,99575800;0,09094515
0,55400003;4,99496500;4,13342700;6,99575800;0,03784295
0,55600003;5,00045800;4,13342700;6,99057000;-0,02014222
0,55800003;5,00045800;4,14410800;6,99575800;-0,04638813
0,56000003;4,99496500;4,13342700;7,00125100;-0,06775109
0,56200003;5,00045800;4,13342700;7,00125100;-0,08362071
0,56400003;5,01113900;4,13861500;7,00643900;-0,04638813
0,56600003;5,00045800;4,13861500;6,99057000;0,01129185
0,56800003;5,00045800;4,14410800;6,99575800;0,04852443
0,57000003;5,00564600;4,13342700;7,00125100;0,08545183
0,57200003;5,00564600;4,14410800;7,00643900;0,09094515
0,57400003;5,00564600;4,12823900;7,00125100;0,02746666
0,57600003;5,00564600;4,13861500;7,00125100;-0,01464888
0,57800003;5,00564600;4,13342700;6,99057000;-0,03601184
0,58000003;5,00564600;4,12823900;7,00125100;-0,08362071
0,58200003;5,00045800;4,13861500;6,99057000;-0,08362071
0,58400003;4,99496500;4,13861500;6,99575800;-0,03051851
0,58600003;4,99496500;4,12823900;6,99575800;0,02197333
0,58800003;5,00045800;4,12823900;6,99575800;0,04852443
0,59000003;5,00045800;4,13861500;6,99575800;0,08545183
0,59200003;5,00045800;4,13342700;6,99575800;0,08545183
0,59400003;5,01113900;4,13342700;6,99575800;0,03784295
0,59600003;5,01113900;4,14410800;6,99057000;-0,01464888
0,59800003;5,00045800;4,12823900;7,01193300;-0,03051851
0,60000003;5,00564600;4,12274600;7,00643900;-0,07843257
0,60200003;5,00045800;4,13342700;7,00125100;-0,08362071
0,60400003;5,01113900;4,14410800;6,99575800;-0,03601184
0,60600003;5,00045800;4,13342700;6,99575800;0,01678518
0,60800003;5,00045800;4,13342700;6,99575800;0,04852443
0,61000003;5,00045800;4,14410800;7,00125100;0,08026368
0,61200003;5,00045800;4,13342700;7,00125100;0,08026368
0,61400003;5,00564600;4,13342700;6,99575800;0,04333628
0,61600003;5,01113900;4,13342700;7,00125100;-0,02014222
0,61800003;4,99496500;4,14410800;7,00125100;-0,04119999
0,62000003;4,99496500;4,13342700;6,99057000;-0,07843257
0,62200003;5,00564600;4,13861500;7,00125100;-0,07843257
0,62400003;5,01113900;4,13342700;7,00125100;-0,02533036
0,62600003;5,00045800;4,13861500;6,99575800;0,01129185
0,62800003;5,00045800;4,14929700;6,99057000;0,04852443
0,63000003;4,99496500;4,13342700;6,99575800;0,09613331
0,63200003;5,00045800;4,13861500;6,99057000;0,08026368
0,63400003;4,99496500;4,14410800;6,99575800;0,04333628
0,63600003;4,99496500;4,14410800;7,00125100;-0,01464888
0,63800003;5,00045800;4,13861500;6,99575800;-0,03051851
0,64000003;5,00564600;4,13861500;7,00643900;-0,08880886
0,64200003;5,00045800;4,13861500;6,99575800;-0,07293924
0,64400003;4,99496500;4,13861500;7,00125100;-0,03051851
0,64600003;4,99496500;4,12823900;6,99575800;0,03265481
0,64800003;5,00564600;4,13342700;7,00643900;0,04852443
0,65000003;5,00564600;4,12823900;7,00125100;0,09094515
0,65200003;5,00045800;4,13861500;6,99575800;0,08545183
0,65400003;5,00045800;4,12823900;6,99575800;0,03265481
0,65600003;5,00045800;4,13342700;7,00125100;-0,02014222
0,65800003;5,00564600;4,12823900;7,00125100;-0,03601184
0,66000003;4,99496500;4,13342700;6,99575800;-0,07843257
0,66200003;5,00045800;4,13342700;7,00643900;-0,08362071
0,66400003;5,01113900;4,13342700;7,00125100;-0,03051851
0,66600003;5,00564600;4,12823900;6,99575800;0,01678518
0,66800003;4,99496500;4,12823900;7,00643900;0,05920591
0,67000003;5,00045800;4,13861500;6,99575800;0,08545183
0,67200003;5,00045800;4,13861500;7,00643900;0,08026368
0,67400003;5,01113900;4,13342700;6,99575800;0,04333628
0,67600003;5,00564600;4,11755800;7,00643900;-0,00946074
0,67800003;5,01113900;4,13342700;6,99057000;-0,04119999
0,68000003;4,99496500;4,13342700;6,99575800;-0,07293924
0,68200003;5,00045800;4,13861500;7,00643900;-0,07843257
0,68400003;5,00045800;4,12823900;6,98507600;-0,04638813
0,68600003;4,99496500;4,13861500;7,00125100;0,01678518
0,68800003;5,00564600;4,13342700;6,99575800;0,03784295
0,69000003;5,00045800;4,13342700;7,00125100;0,08545183
0,69200003;5,01113900;4,12274600;7,00125100;0,07507554
0,69400003;5,00564600;4,13861500;7,00125100;0,03784295
0,69600003;5,00564600;4,13342700;7,00643900;-0,03601184
0,69800003;5,01113900;4,13861500;6,99575800;-0,04638813
