Zeit;Kanal A;Kanal B;Kanal C;Kanal D
(s);(V);(V);(V);(V)

0,42000002;6,00146500;5,25833900;5,49455300;0,00610370
0,42200002;5,99597200;5,25315100;5,50523400;-0,00946074
0,42400002;5,99078300;5,24765800;5,50004600;0,01129185
0,42600002;5,99597200;5,25315100;5,50004600;0,00091556
0,42800002;6,00146500;5,24765800;5,48936400;0,00610370
0,43000002;6,00146500;5,25315100;5,50523400;-0,00427259
0,43200002;5,99597200;5,25833900;5,49455300;0,00091556
0,43400002;5,99597200;5,23697600;5,49455300;-0,00427259
0,43600002;6,00146500;5,24765800;5,51072700;0,00610370
0,43800002;6,00146500;5,25315100;5,49455300;0,00610370
0,44000002;6,00146500;5,25315100;5,49455300;0,00610370
0,44200002;6,00146500;5,23697600;5,48936400;0,00091556
0,44400002;6,00665300;5,25833900;5,50004600;0,00091556
0,44600002;5,99597200;5,25315100;5,49455300;0,01129185
0,44800002;5,99597200;5,24765800;5,50004600;0,00091556
0,45000002;6,00146500;5,24765800;5,49455300;0,00091556
0,45200002;5,99597200;5,24765800;5,50004600;0,00091556
0,45400002;5,99597200;5,24765800;5,49455300;-0,00427259
0,45600002;5,99597200;5,25315100;5,50004600;-0,00427259
0,45800002;6,00665300;5,24765800;5,50004600;0,01678518
0,46000002;5,99597200;5,25315100;5,49455300;-0,00427259
0,46200002;5,99597200;5,23697600;5,51072700;0,00091556
0,46400002;6,00146500;5,25315100;5,50004600;-0,00427259
0,46600002;6,00146500;5,25315100;5,50004600;0,00610370
0,46800002;6,00146500;5,25833900;5,50523400;0,00091556
0,47000002;6,00146500;5,24765800;5,50004600;0,00091556
0,47200002;6,00146500;5,24247000;5,49455300;0,00091556
0,47400002;6,00146500;5,24765800;5,50523400;-0,00427259
0,47600002;5,99597200;5,24765800;5,50004600;0,00610370
0,47800002;6,00146500;5,25315100;5,50004600;0,00091556
0,48000002;5,99597200;5,24247000;5,48936400;-0,00427259
0,48200002;6,00146500;5,24247000;5,49455300;-0,00427259
0,48400002;6,00146500;5,25833900;5,50004600;-0,00427259
0,48600002;5,99597200;5,24247000;5,50004600;-0,00427259
